Country Name,Population,Continent
Aruba,106445,North America
Afghanistan,41128771,Asia
Angola,35588987,Africa
Albania,2775634,Europe
Andorra,79824,Europe
Arab World,464684914,Asia
United Arab Emirates,9441129,Asia
Argentina,46234830,South America
Armenia,2780469,Asia
American Samoa,44273,Oceania
Antigua and Barbuda,93763,North America
Australia,25978935,Oceania
Austria,9042528,Europe
Azerbaijan,10175016,Asia
Burundi,12889576,Africa
Belgium,11669446,Europe
Benin,13352864,Africa
Burkina Faso,22673762,Africa
Bangladesh,171186372,Asia
Bulgaria,6465097,Europe
Bahrain,1472233,Asia
"Bahamas, The",409984,North America
Bosnia and Herzegovina,3233526,Europe
Belarus,9208701,Europe
Belize,405272,North America
Bermuda,63532,North America
Bolivia,12224110,South America
Brazil,215313498,South America
Barbados,281635,North America
Brunei Darussalam,449002,Asia
Bhutan,782455,Asia
Botswana,2630296,Africa
Central African Republic,5579144,Africa
Canada,38929902,North America
Central Europe and the Baltics,100648571,Europe
Switzerland,8769741,Europe
Channel Islands,174079,Europe
Chile,19603733,South America
China,1412175000,Asia
Cote d'Ivoire,28160542,Africa
Cameroon,27914536,Africa
"Congo, Dem. Rep.",99010212,Africa
"Congo, Rep.",5970424,Africa
Colombia,51874024,South America
Comoros,836774,Africa
Cabo Verde,593149,Africa
Costa Rica,5180829,North America
Cuba,11212191,North America
Cayman Islands,68706,North America
Cyprus,1251488,Asia
Czechia,10526073,Europe
Germany,84079811,Europe
Djibouti,1120849,Africa
Dominica,72737,North America
Denmark,5903037,Europe
Dominican Republic,11228821,North America
Algeria,44903225,Africa
Ecuador,18001000,South America
"Egypt, Arab Rep.",110990103,Africa
Eritrea,3684032,Africa
Spain,47615034,Europe
Estonia,1344768,Europe
Ethiopia,123379924,Africa
Finland,5556880,Europe
Fiji,929766,Oceania
France,67935660,Europe
Faroe Islands,53090,Europe
Gabon,2388992,Africa
United Kingdom,66971411,Europe
Georgia,3712502,Asia
Ghana,33475870,Africa
Gibraltar,32649,Europe
Guinea,13859341,Africa
Guinea-Bissau,2105566,Africa
Equatorial Guinea,1674908,Africa
Greece,10566531,Europe
Grenada,125438,North America
Greenland,56661,North America
Guatemala,17357886,North America
Guam,171774,Oceania
Guyana,808726,South America
"Hong Kong SAR, China",7346100,Asia
Honduras,10432860,North America
Croatia,3854000,Europe
Haiti,11584996,North America
Hungary,9683505,Europe
IDA total,1839971350,Europe
IDA blend,607735968,Europe
Indonesia,275501339,Asia
IDA only,1232235382,Europe
Isle of Man,84519,Europe
India,1417173173,Asia
Ireland,5086988,Europe
"Iran, Islamic Rep.",88550570,Asia
Iraq,44496122,Asia
Iceland,381900,Europe
Israel,9550600,Asia
Italy,58856847,Europe
Jamaica,2827377,North America
Jordan,11285869,Asia
Japan,125124989,Asia
Kazakhstan,19621972,Asia
Kenya,54027487,Africa
Kyrgyz Republic,6803300,Asia
Cambodia,16767842,Asia
Kiribati,131232,Oceania
St. Kitts and Nevis,47657,North America
"Korea, Rep.",51628117,Asia
Kuwait,4268873,Asia
Latin America & Caribbean (excluding high income),596596955,South America
Lao PDR,7529475,Asia
Lebanon,5489739,Asia
Liberia,5302681,Africa
Libya,6812341,Africa
St. Lucia,179857,North America
Latin America & Caribbean,659311105,South America
Liechtenstein,39327,Europe
Sri Lanka,22181000,Asia
Lesotho,2305825,Africa
Lithuania,2833000,Europe
Luxembourg,650774,Europe
Latvia,1883379,Europe
"Macao SAR, China",695168,Asia
St. Martin (French part),31791,Europe
Morocco,37457971,Africa
Monaco,36469,Europe
Moldova,2592477,Europe
Madagascar,29611714,Africa
Maldives,523787,Asia
Middle East & North Africa,493264873,Africa
Mexico,127504125,North America
Marshall Islands,41569,Oceania
North Macedonia,2057679,Europe
Mali,22593590,Africa
Malta,523417,Europe
Myanmar,54179306,Asia
Middle East & North Africa (excluding high income),424328381,Africa
Montenegro,616159,Europe
Mongolia,3398366,Asia
Northern Mariana Islands,49551,Oceania
Mozambique,32969518,Africa
Mauritania,4736139,Africa
Mauritius,1262523,Africa
Malawi,20405317,Africa
Malaysia,33938221,Asia
North America,372280991,North America
Namibia,2567012,Africa
New Caledonia,276780,Oceania
Niger,26207977,Africa
Nigeria,218541212,Africa
Nicaragua,6948392,North America
Netherlands,17703090,Europe
Norway,5457127,Europe
Nepal,30547580,Asia
Nauru,12668,Oceania
New Zealand,5124100,Oceania
Oman,4576298,Asia
Pakistan,235824862,Asia
Panama,4408581,North America
Peru,34049588,South America
Philippines,115559009,Asia
Palau,18055,Oceania
Papua New Guinea,10142619,Oceania
Poland,37561599,Europe
Puerto Rico,3221789,North America
"Korea, Dem. People's Rep.",26069416,Asia
Portugal,10379007,Europe
Paraguay,6780744,South America
French Polynesia,306279,Oceania
Qatar,2695122,Asia
Romania,18956666,Europe
Russian Federation,143555736,Europe
Rwanda,13776698,Africa
Saudi Arabia,36408820,Asia
Sudan,46874204,Africa
Senegal,17316449,Africa
Singapore,5637022,Asia
